clip_name,label,time_of_alert
00917_clip.npy,crash,18.133
00157_clip.npy,crash,17.596
00625_clip.npy,crash,18.128
00673_clip.npy,crash,17.333
00039_clip.npy,crash,17.6
00527_clip.npy,crash,17.8
00880_clip.npy,crash,18.5
00469_clip.npy,crash,17.471
00979_clip.npy,crash,17.803
00549_clip.npy,crash,18.7
00466_clip.npy,crash,17.6
00626_clip.npy,crash,18.333
00242_clip.npy,crash,19.433
00082_clip.npy,crash,17.433
00519_clip.npy,crash,19.033
00046_clip.npy,crash,17.7
00744_clip.npy,crash,18.492
00601_clip.npy,crash,17.233
00710_clip.npy,crash,17.566
01037_clip.npy,crash,18.048
00345_clip.npy,crash,17.933
00906_clip.npy,crash,18.033
00454_clip.npy,crash,16.933
00355_clip.npy,crash,17.8
00453_clip.npy,crash,18.419
00028_clip.npy,crash,17.74
00500_clip.npy,crash,18.633
00167_clip.npy,crash,18.233
00072_clip.npy,crash,20.068
01031_clip.npy,crash,9.067
00059_clip.npy,crash,18.6
00024_clip.npy,crash,19.567
00739_clip.npy,crash,16.825
00234_clip.npy,crash,6.63
00554_clip.npy,crash,18.288
00985_clip.npy,crash,23.767
01036_clip.npy,crash,19.499
00819_clip.npy,crash,15.449
00006_clip.npy,crash,17.133
00918_clip.npy,crash,19.903
00587_clip.npy,crash,19.533
00195_clip.npy,crash,19.3
00748_clip.npy,crash,19.5
00132_clip.npy,crash,19.267
00457_clip.npy,crash,19.367
00335_clip.npy,crash,18.515
00172_clip.npy,crash,17.8
00090_clip.npy,crash,18.333
00313_clip.npy,crash,18.794
00608_clip.npy,crash,16.892
00391_clip.npy,crash,19.267
00014_clip.npy,crash,18.4
00674_clip.npy,crash,17.903
00089_clip.npy,crash,19.299
00210_clip.npy,crash,19.033
00541_clip.npy,crash,19.067
00960_clip.npy,crash,17.898
00184_clip.npy,crash,21.5
00340_clip.npy,crash,15.871
00997_clip.npy,crash,17.684
00953_clip.npy,crash,19.692
00703_clip.npy,crash,19.033
00642_clip.npy,crash,17.865
00339_clip.npy,crash,19.347
00839_clip.npy,crash,19.119
00330_clip.npy,crash,19.567
00586_clip.npy,crash,17.699
00684_clip.npy,crash,17.382
00066_clip.npy,crash,20.787
00820_clip.npy,crash,17.9
00879_clip.npy,crash,16.9
00473_clip.npy,crash,18.6
00702_clip.npy,crash,17.641
00528_clip.npy,crash,55.467
00841_clip.npy,crash,16.167
00758_clip.npy,crash,19.636
00213_clip.npy,crash,16.016
00851_clip.npy,crash,19.019
00949_clip.npy,crash,17.474
00617_clip.npy,crash,18.453
00358_clip.npy,crash,16.1
00948_clip.npy,crash,19.219
00883_clip.npy,crash,8.363
00833_clip.npy,crash,8.226
00877_clip.npy,crash,18.6
00610_clip.npy,crash,18.431
00751_clip.npy,crash,19.1
00802_clip.npy,crash,20.323
00972_clip.npy,crash,14.544
00235_clip.npy,crash,7.228
00475_clip.npy,crash,19.262
00238_clip.npy,crash,17.5
00978_clip.npy,crash,16.496
00780_clip.npy,crash,16.9
00556_clip.npy,crash,19.019
00854_clip.npy,crash,18.263
00913_clip.npy,crash,17.067
00996_clip.npy,crash,17.967
00266_clip.npy,crash,18.933
00169_clip.npy,crash,18.742
00967_clip.npy,crash,7.629
00114_clip.npy,crash,18.367
00049_clip.npy,crash,18.264
00026_clip.npy,crash,6.997
00895_clip.npy,crash,18.887
00607_clip.npy,crash,14.608
00130_clip.npy,crash,18.0
00915_clip.npy,crash,8.76
00686_clip.npy,crash,18.533
00343_clip.npy,crash,15.689
00534_clip.npy,crash,17.715
00594_clip.npy,crash,18.269
00103_clip.npy,crash,19.4
00144_clip.npy,crash,18.3
00357_clip.npy,crash,17.73
00189_clip.npy,crash,18.098
00603_clip.npy,crash,17.841
00690_clip.npy,crash,17.033
00324_clip.npy,crash,19.167
00381_clip.npy,crash,17.384
00319_clip.npy,crash,19.533
00298_clip.npy,crash,19.073
00968_clip.npy,crash,19.133
00260_clip.npy,crash,18.533
00106_clip.npy,crash,16.9
00029_clip.npy,crash,19.1
00084_clip.npy,crash,18.46
00003_clip.npy,crash,16.9
00754_clip.npy,crash,18.3
00884_clip.npy,crash,20.197
01019_clip.npy,crash,17.25
00155_clip.npy,crash,17.31
00228_clip.npy,crash,19.017
00407_clip.npy,crash,18.833
00936_clip.npy,crash,17.633
00397_clip.npy,crash,18.267
00789_clip.npy,crash,18.723
00318_clip.npy,crash,19.035
00076_clip.npy,crash,17.8
00423_clip.npy,crash,19.067
00477_clip.npy,crash,18.833
00887_clip.npy,crash,19.167
00660_clip.npy,crash,18.562
00077_clip.npy,crash,17.645
00700_clip.npy,crash,18.252
00251_clip.npy,crash,18.306
01034_clip.npy,crash,17.1
00755_clip.npy,crash,18.233
00417_clip.npy,crash,9.059
00131_clip.npy,crash,18.645
00422_clip.npy,crash,18.546
00443_clip.npy,crash,16.968
00589_clip.npy,crash,18.799
00651_clip.npy,crash,18.297
00831_clip.npy,crash,17.367
00574_clip.npy,crash,17.248
00036_clip.npy,crash,21.412
00418_clip.npy,crash,18.4
00921_clip.npy,crash,18.785
00472_clip.npy,crash,18.8
00233_clip.npy,crash,18.167
00331_clip.npy,crash,18.008
00099_clip.npy,crash,15.959
00498_clip.npy,crash,17.9
00869_clip.npy,crash,18.267
00464_clip.npy,crash,18.8
01534_clip.npy,no_crash,10.0
01969_clip.npy,no_crash,10.0
01840_clip.npy,no_crash,10.0
01393_clip.npy,no_crash,10.0
01532_clip.npy,no_crash,10.0
02088_clip.npy,no_crash,10.0
01496_clip.npy,no_crash,10.0
01805_clip.npy,no_crash,10.0
01815_clip.npy,no_crash,10.0
01080_clip.npy,no_crash,10.0
01527_clip.npy,no_crash,10.0
01533_clip.npy,no_crash,10.0
02083_clip.npy,no_crash,10.0
01085_clip.npy,no_crash,10.0
02114_clip.npy,no_crash,10.0
01719_clip.npy,no_crash,10.0
01706_clip.npy,no_crash,10.0
02121_clip.npy,no_crash,10.0
01890_clip.npy,no_crash,10.0
01691_clip.npy,no_crash,10.0
01054_clip.npy,no_crash,10.0
01563_clip.npy,no_crash,10.0
01506_clip.npy,no_crash,10.0
01913_clip.npy,no_crash,10.0
01399_clip.npy,no_crash,10.0
01578_clip.npy,no_crash,10.0
01931_clip.npy,no_crash,10.0
01800_clip.npy,no_crash,10.0
01268_clip.npy,no_crash,10.0
01896_clip.npy,no_crash,10.0
01713_clip.npy,no_crash,10.0
02006_clip.npy,no_crash,10.0
01441_clip.npy,no_crash,10.0
01635_clip.npy,no_crash,10.0
01290_clip.npy,no_crash,10.0
01734_clip.npy,no_crash,10.0
02049_clip.npy,no_crash,10.0
01134_clip.npy,no_crash,10.0
01908_clip.npy,no_crash,10.0
01500_clip.npy,no_crash,10.0
01849_clip.npy,no_crash,10.0
01992_clip.npy,no_crash,10.0
01071_clip.npy,no_crash,10.0
01617_clip.npy,no_crash,10.0
01912_clip.npy,no_crash,10.0
01238_clip.npy,no_crash,10.0
01542_clip.npy,no_crash,10.0
01296_clip.npy,no_crash,10.0
01821_clip.npy,no_crash,10.0
01140_clip.npy,no_crash,10.0
01791_clip.npy,no_crash,10.0
01254_clip.npy,no_crash,10.0
01550_clip.npy,no_crash,10.0
01229_clip.npy,no_crash,10.0
01842_clip.npy,no_crash,10.0
01954_clip.npy,no_crash,10.0
01477_clip.npy,no_crash,10.0
02042_clip.npy,no_crash,10.0
01609_clip.npy,no_crash,10.0
01289_clip.npy,no_crash,10.0
01687_clip.npy,no_crash,10.0
01190_clip.npy,no_crash,10.0
01498_clip.npy,no_crash,10.0
01109_clip.npy,no_crash,10.0
02048_clip.npy,no_crash,10.0
01350_clip.npy,no_crash,10.0
01133_clip.npy,no_crash,10.0
01138_clip.npy,no_crash,10.0
01094_clip.npy,no_crash,10.0
01284_clip.npy,no_crash,10.0
01499_clip.npy,no_crash,10.0
01722_clip.npy,no_crash,10.0
01766_clip.npy,no_crash,10.0
01491_clip.npy,no_crash,10.0
01640_clip.npy,no_crash,10.0
02102_clip.npy,no_crash,10.0
01704_clip.npy,no_crash,10.0
01075_clip.npy,no_crash,10.0
01813_clip.npy,no_crash,10.0
01673_clip.npy,no_crash,10.0
01145_clip.npy,no_crash,10.0
01724_clip.npy,no_crash,10.0
01317_clip.npy,no_crash,10.0
01260_clip.npy,no_crash,10.0
01096_clip.npy,no_crash,10.0
01581_clip.npy,no_crash,10.0
01748_clip.npy,no_crash,10.0
01459_clip.npy,no_crash,10.0
01968_clip.npy,no_crash,10.0
01932_clip.npy,no_crash,10.0
01222_clip.npy,no_crash,10.0
01983_clip.npy,no_crash,10.0
01232_clip.npy,no_crash,10.0
01858_clip.npy,no_crash,10.0
01306_clip.npy,no_crash,10.0
01656_clip.npy,no_crash,10.0
02108_clip.npy,no_crash,10.0
01374_clip.npy,no_crash,10.0
01599_clip.npy,no_crash,10.0
01806_clip.npy,no_crash,10.0
01616_clip.npy,no_crash,10.0
01959_clip.npy,no_crash,10.0
01372_clip.npy,no_crash,10.0
01478_clip.npy,no_crash,10.0
01584_clip.npy,no_crash,10.0
01242_clip.npy,no_crash,10.0
01425_clip.npy,no_crash,10.0
01638_clip.npy,no_crash,10.0
01046_clip.npy,no_crash,10.0
01737_clip.npy,no_crash,10.0
01462_clip.npy,no_crash,10.0
01917_clip.npy,no_crash,10.0
01262_clip.npy,no_crash,10.0
01577_clip.npy,no_crash,10.0
01103_clip.npy,no_crash,10.0
01631_clip.npy,no_crash,10.0
01122_clip.npy,no_crash,10.0
01322_clip.npy,no_crash,10.0
01387_clip.npy,no_crash,10.0
01355_clip.npy,no_crash,10.0
01683_clip.npy,no_crash,10.0
02085_clip.npy,no_crash,10.0
01568_clip.npy,no_crash,10.0
01904_clip.npy,no_crash,10.0
01939_clip.npy,no_crash,10.0
02067_clip.npy,no_crash,10.0
01628_clip.npy,no_crash,10.0
01157_clip.npy,no_crash,10.0
01420_clip.npy,no_crash,10.0
01844_clip.npy,no_crash,10.0
01554_clip.npy,no_crash,10.0
02026_clip.npy,no_crash,10.0
01682_clip.npy,no_crash,10.0
01695_clip.npy,no_crash,10.0
01926_clip.npy,no_crash,10.0
02000_clip.npy,no_crash,10.0
01259_clip.npy,no_crash,10.0
02069_clip.npy,no_crash,10.0
01889_clip.npy,no_crash,10.0
01711_clip.npy,no_crash,10.0
01342_clip.npy,no_crash,10.0
01736_clip.npy,no_crash,10.0
01870_clip.npy,no_crash,10.0
01286_clip.npy,no_crash,10.0
01996_clip.npy,no_crash,10.0
01049_clip.npy,no_crash,10.0
01364_clip.npy,no_crash,10.0
01301_clip.npy,no_crash,10.0
01423_clip.npy,no_crash,10.0
02089_clip.npy,no_crash,10.0
01292_clip.npy,no_crash,10.0
01511_clip.npy,no_crash,10.0
01060_clip.npy,no_crash,10.0
01465_clip.npy,no_crash,10.0
02136_clip.npy,no_crash,10.0
01194_clip.npy,no_crash,10.0
01172_clip.npy,no_crash,10.0
01824_clip.npy,no_crash,10.0
01874_clip.npy,no_crash,10.0
01860_clip.npy,no_crash,10.0
02013_clip.npy,no_crash,10.0
01882_clip.npy,no_crash,10.0
01607_clip.npy,no_crash,10.0
02060_clip.npy,no_crash,10.0
01899_clip.npy,no_crash,10.0
02119_clip.npy,no_crash,10.0
01753_clip.npy,no_crash,10.0
01131_clip.npy,no_crash,10.0
01473_clip.npy,no_crash,10.0
01557_clip.npy,no_crash,10.0
01271_clip.npy,no_crash,10.0
02029_clip.npy,no_crash,10.0
01492_clip.npy,no_crash,10.0
01118_clip.npy,no_crash,10.0
01217_clip.npy,no_crash,10.0
01720_clip.npy,no_crash,10.0
01287_clip.npy,no_crash,10.0
01862_clip.npy,no_crash,10.0
01717_clip.npy,no_crash,10.0
01236_clip.npy,no_crash,10.0
02011_clip.npy,no_crash,10.0
01388_clip.npy,no_crash,10.0
01807_clip.npy,no_crash,10.0
01394_clip.npy,no_crash,10.0
01964_clip.npy,no_crash,10.0
01649_clip.npy,no_crash,10.0
01973_clip.npy,no_crash,10.0
01755_clip.npy,no_crash,10.0
02061_clip.npy,no_crash,10.0
01765_clip.npy,no_crash,10.0
01838_clip.npy,no_crash,10.0
01801_clip.npy,no_crash,10.0
01303_clip.npy,no_crash,10.0
01485_clip.npy,no_crash,10.0
01288_clip.npy,no_crash,10.0
01209_clip.npy,no_crash,10.0
02034_clip.npy,no_crash,10.0
01714_clip.npy,no_crash,10.0
01952_clip.npy,no_crash,10.0
01949_clip.npy,no_crash,10.0
01799_clip.npy,no_crash,10.0
02037_clip.npy,no_crash,10.0
02118_clip.npy,no_crash,10.0
02072_clip.npy,no_crash,10.0
01283_clip.npy,no_crash,10.0
01988_clip.npy,no_crash,10.0
01604_clip.npy,no_crash,10.0
01971_clip.npy,no_crash,10.0
01404_clip.npy,no_crash,10.0
01442_clip.npy,no_crash,10.0
01365_clip.npy,no_crash,10.0
02004_clip.npy,no_crash,10.0
01503_clip.npy,no_crash,10.0
01114_clip.npy,no_crash,10.0
01132_clip.npy,no_crash,10.0
01250_clip.npy,no_crash,10.0
01487_clip.npy,no_crash,10.0
01629_clip.npy,no_crash,10.0
01266_clip.npy,no_crash,10.0
01256_clip.npy,no_crash,10.0
01221_clip.npy,no_crash,10.0
01261_clip.npy,no_crash,10.0
01401_clip.npy,no_crash,10.0
01980_clip.npy,no_crash,10.0
01072_clip.npy,no_crash,10.0
01696_clip.npy,no_crash,10.0
01586_clip.npy,no_crash,10.0
01970_clip.npy,no_crash,10.0
01574_clip.npy,no_crash,10.0
01592_clip.npy,no_crash,10.0
01875_clip.npy,no_crash,10.0
01728_clip.npy,no_crash,10.0
01572_clip.npy,no_crash,10.0
01228_clip.npy,no_crash,10.0
01972_clip.npy,no_crash,10.0
01309_clip.npy,no_crash,10.0
01213_clip.npy,no_crash,10.0
01453_clip.npy,no_crash,10.0
01517_clip.npy,no_crash,10.0
01985_clip.npy,no_crash,10.0
01853_clip.npy,no_crash,10.0
01413_clip.npy,no_crash,10.0
01206_clip.npy,no_crash,10.0
01989_clip.npy,no_crash,10.0
01276_clip.npy,no_crash,10.0
01825_clip.npy,no_crash,10.0
01497_clip.npy,no_crash,10.0
01356_clip.npy,no_crash,10.0
01888_clip.npy,no_crash,10.0
01383_clip.npy,no_crash,10.0
